MANOVA,,,
,,,
,yield,water,herbicide
loam,76.7,29.5,7.5
loam,60.5,32.1,6.3
loam,96.1,40.7,4.2
loam,88.1,45.1,4.9
loam,50.2,34.1,11.7
loam,55.0,31.1,6.9
loam,65.4,21.6,4.3
loam,65.7,27.7,5.3
sandy,67.3,48.3,5.5
sandy,61.3,28.9,6.9
sandy,58.2,42.5,4.8
sandy,76.9,20.4,3.0
sandy,66.9,23.9,1.1
sandy,55.4,29.1,5.0
sandy,50.5,18.0,4.8
sandy,64.1,14.5,3.7
salty,62.8,25.9,2.9
salty,45.0,15.9,1.2
salty,47.8,36.1,4.1
salty,75.6,27.7,6.3
salty,46.6,46.9,3.6
salty,50.6,29.7,4.7
salty,45.7,27.6,6.2
salty,68.4,35.3,1.9
clay,52.5,39.0,3.1
clay,80.0,54.2,4.0
clay,54.7,32.1,5.7
clay,63.5,25.6,3.0
clay,46.3,31.8,7.4
clay,61.5,16.8,1.9
clay,62.9,25.8,2.4
clay,49.3,39.4,5.2
